,Persistance,src_ID,dst_ID
146,9,3885269940,3257624105
147,10,1962358514,1074109287
148,379,738484946,3978971491
149,51,1265830184,2343838370
150,5,739713670,3571692425
151,1,3291936945,855366490
152,256,3331092295,1962334015
153,2,3883939779,4038537270
154,16,799751176,2270145455
155,11,269242562,3978971484
156,2,3585737422,3978971496
157,99,3766890141,2317274350
158,2,1640822366,1235577681
159,490,1956339388,1074109414
160,10,2258940519,3978971497
161,137,1262595578,2343840720
162,90,738682673,3978971494
163,15,2454244429,3455008281
164,2,795619150,1962334034
165,53,752707109,1074109374
166,78,269242563,3978971484
167,37,1886247419,3617654178
168,57,3672219469,1962334039
169,4,1056024999,2270145422
170,2,2189255777,1235571116
171,9,1862460254,4096165165
172,1,3957833306,3391071007
173,199,793859360,3978971492
174,81,816201879,4215913538
175,516,504317770,3447595244
176,9,3428876036,3347703686
177,21,3978972186,3978971490
178,85,2466252003,3390995827
179,57,3584891823,2321225282
180,2,2258940520,3978971498
181,4,1208716556,3890314079
182,3,1053623653,3349898092
183,26,738663659,1962334031
184,20,1208716553,3890314078
185,4,2083380773,3607613205
186,10,1190350564,4096180424
187,20,697385642,1074109374
188,174,794532909,1962334028
189,372,2279000374,3455005290
190,2,739718791,3453538170
191,79,3585292099,3349736527
192,34,2285206418,3390964563
193,155,2353100481,1074109429
194,2,1179160044,843175456
195,242,738410095,3978971496
196,189,738709536,3978971496
197,2,739681437,3614059567
198,1,2159770286,2270145447
199,100,3274282396,3455663748
200,96,3267088897,3391067880
201,28,738723268,4225762522
202,68,794511152,4109948245
203,225,269242574,3978971487
204,3,1190350650,3443718730
205,494,2258940746,3978971484
206,104,623340447,3242289062
207,21,1743087188,3890314079
208,4,742359669,3446717633
209,35,4006203668,1962334046
210,471,3741520606,2325255001
211,202,738722193,1962334020
212,195,799565743,3978971491
213,28,1176241601,3448460573
214,9,1518368206,3474199657
215,14,3672219562,1074109285
216,2,2005436890,3256822953
217,23,794515588,3617682349
218,1,2544202078,2059628448
219,31,743734040,2270145478
220,28,3584891820,3257645401
221,3,3585067662,3569571009
222,18,545257100,3608925939
223,21,4023729158,4041155898
224,4,353639556,3569494800
225,123,1226365253,3978971491
226,296,800705206,3448432780
227,3,791756489,4217660136
228,15,1056230856,3978971496
229,42,751508796,3472982509
230,2,1287617798,3442966653
231,2,2256967760,3223149761
232,1,1190350578,3452106135
233,13,2258940513,3978971496
234,9,1722711499,1235608601
235,255,1516073235,3607596226
236,79,739851840,3978971491
237,38,3270433939,3390911775
238,33,3585080818,3451333477
239,37,1445452137,3451130728
240,17,2673487962,4098085054
241,2,742666389,2346422245
242,1,3585093867,4104016765
243,7,828817399,3350310965
244,4,4144198356,3390574956
245,3,139068291,3450105856
246,160,738203823,3978971484
247,14,517386171,4095596309
248,5,790381466,3455014868
249,62,3673973868,3443992671
250,7,740377760,2338352287
251,363,741951104,3473703357
252,323,3525080473,3324064853
253,3,3306169081,3608364259
254,436,843783394,3390571729
255,130,3787812971,2336078883
256,14,794463917,2325249618
257,3,2117357990,3570046318
258,254,504168477,3608893505
259,483,2559863274,3450125829
260,533,2582212730,2270145408
261,11,751779873,3617785731
262,58,751359748,1074109385
263,2,2209374369,3618109634
264,81,1053310659,3474337063
265,190,2094178165,3349742034
266,178,738657513,3978971492
267,58,790347328,4107593341
268,44,738718518,1962334044
269,28,2510188297,3472949308
270,32,269242573,3978971485
271,1,1273045946,1962334025
272,109,3298429421,3618109511
273,17,2258940515,3978971498
274,38,1226544499,3455736099
275,90,2133022635,1074109340
276,10,2167415283,2205398067
277,155,738484946,3978971489
278,4,4023727683,3618747222
279,1,1189597367,3978971493
280,2,4173808208,1074109248
281,134,791779939,3349899345
282,54,269242562,3978971486
283,179,2377634641,3390992838
284,14,3765692899,3618740934
285,19,1208716546,3890314078
286,37,1902930144,3391076970
287,46,2285206418,3391035217
288,235,3672202095,3890314065
289,161,2258940743,3978971485
290,112,1280619379,4109904414
291,213,1125711061,3255952777
292,1,2048432870,1074109431
293,5,3672219640,1962334067
294,9,2296595644,3232147852
295,52,800783747,3680292746
296,1,708309484,1235577647
297,4,219736623,3390575064
298,52,1189597366,3978971493
299,13,2162578789,1962334015
300,93,2487475232,3348718488
301,105,3315372678,3352310600
302,69,1226518379,3978971487
303,3,2309602077,3453634772
304,24,3526897775,3453331238
305,158,739663149,1962334031
306,106,1717784337,3233210410
307,7,834955676,3353312662
308,1,2235623413,3233176105
309,14,1053691705,3447596955
310,1,2456525992,3446699644
311,27,3585292144,3571692346
312,3,3673973389,3353312662
313,58,1053363429,4104016765
314,13,1053678236,2270145408
315,10,3525189015,3474259404
316,260,738552133,1074109413
317,2,138990064,3338558293
318,9,2165821806,3223210424
319,9,232388647,855531257
320,514,2347551516,1962334155
321,24,788827393,1962334025
